Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags;;;;;;;
"2021-05-12 19:24:45,""b'RT @angga_rusmanto: @tempodotco Ini semua akal""""an utk menghambat kelanjutan korupsi bansos, benur &amp";" kasus"""" lain yg melibatkan kroni"""" dr oli\xe2\x80\xa6'"",1392561400975790080,RizkiSiagian4,1,Twitter for Android,1,[]";;;;;;
2021-05-12 19:15:30,b'@republikaonline @safirasafifra Terkait mamih bansos kalii yaa ?? \xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81',1392559073866915840,putra_jamparing,0,Twitter for Android,0,[];;;;;;;
2021-05-12 19:10:45,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392557879119335426,YaqutYazid,137,Twitter for Android,1,[];;;;;;;
"2021-05-12 19:07:23,""b'RT @PutraWadapi: Jokowi Disebut-sebut di Sidang Suap Bansos, Juliari Batubara: Untuk Percepatan Penyerapan Anggaran Kemensos https://t.co/o\xe2\x80\xa6'"",1392557032050348034,ariesukray,338,Twitter for Android,1,[]";;;;;;;
2021-05-12 19:05:35,b'@jokowi Teman sejati itu tidak korupsi dana bansos untuk rakyat nya\xf0\x9f\x98\x85\xf0\x9f\x98\x85\xf0\x9f\x98\x85. Indonesia rakyat nya juga butuh pak.',1392556578759348224,Sofyan01682105,0,Twitter Web App,0,[];;;;;;;
2021-05-12 19:03:12,b'@Taufik_06 busyet..jatah..wmang bansos...\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3...sue lu brooh..\nsalam perrsaudaraan\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f',1392555979238113280,Jackarthur05,0,Twitter for Android,0,[];;;;;;;
2021-05-12 18:56:44,b'dapet thr aja udah bersyukur apalagi dapet korupsi bansos',1392554351445430273,strioydn,0,Twitter for Android,0,[];;;;;;;
2021-05-12 18:53:31,b'@panca66 @WajahPribumiii semua di jaman SBY. Cuman Bansos di jaman jokowi wkwkwkw. Kang fitnah. Kang mangkrak',1392553540992737287,Katonn98,0,Twitter for Android,0,[];;;;;;;
"2021-05-12 18:43:26,""b'Kadang suka mikir, ya allah tanah air kok gini amat ya. \nKalo mau yg bawah tertib, tertibin dulu tuh dana bansos.'"",1392551002541203456,merryjuana22,0,Twitter for Android,0,[]";;;;;;;
2021-05-12 18:33:09,b'@asamlambonk Nanti kalau ada om om yg ngirimin dana korupsi bansos gimana',1392548415880318976,hanifmutho_,0,Twitter for Android,0,[];;;;;;;
2021-05-12 18:29:47,b'@ChomZdelaRoCa Kader partai korupsi bansos udh gak ada yg dipercaya!!!',1392547568811331585,Akrap214,1,Twitter for Android,0,[];;;;;;;
2021-05-12 18:22:48,b'Sugar daddy seminggu berani ngasi 100jt \nItu nyari duitnya trading apa ngehack dana bansos dah',1392545811968368646,donny_pangestu1,0,Twitter for Android,0,[];;;;;;;
2021-05-12 18:20:35,b'RT @PAWANGNYAJINUK: @sarangeyok @kdrama_menfess Itu mah sudah sangat jelas\n\nAnggaran bansos copit dipake buat seneng-seneng\nKasus anak angg\xe2\x80\xa6',1392545255837208577,sweetricecakeee,2,Twitter for Android,1,[];;;;;;;
2021-05-12 18:19:54,b'@jpnncom Korupsi bansos itu masuk kategori peduli &amp; membantu ke bawah gak ya? @PDIPkabMjk @PDIPNganjuk @budimandjatmiko @TarraBudiman @megainstitute @suaragagap @nutv_id',1392545082000117763,lintaspolitik,0,Twitter Web App,0,[];;;;;;
"2021-05-12 18:18:03,""b'RT @PutraWadapi: Jokowi Disebut-sebut di Sidang Suap Bansos, Juliari Batubara: Untuk Percepatan Penyerapan Anggaran Kemensos https://t.co/o\xe2\x80\xa6'"",1392544616491077632,gusadhie1,338,Twitter for Android,1,[]";;;;;;;
"2021-05-12 18:10:32,""b'RT @pndgmsh_: @SantorinisSun coba kalo pemerintah lebih konsisten sama kebijakannya, lebih adil ke wni dan wna\nga ada drama korupsi bansos,\xe2\x80\xa6'"",1392542726801944577,farelamer,13,Twitter for iPhone,1,[]";;;;;;;
2021-05-12 18:09:48,b'@UyokBack demi Anak Pak Lurah &amp; Madam Bansos',1392542539882762240,nendysuryanaga1,0,Twitter Web App,0,[];;;;;;
2021-05-12 18:06:37,b'@xzdsh bawa bansos aja',1392541740217737216,txtdarines,0,Twitter for Android,0,[];;;;;;;
2021-05-12 18:02:10,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392540620300767233,Rafifijlal02,137,Twitter for Android,1,[];;;;;;;
2021-05-12 17:50:41,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392537730316341249,Rozi17136983,137,Twitter Web App,1,[];;;;;;;
"2021-05-12 17:47:39,""b'RT @PutraWadapi: Jokowi Disebut-sebut di Sidang Suap Bansos, Juliari Batubara: Untuk Percepatan Penyerapan Anggaran Kemensos https://t.co/o\xe2\x80\xa6'"",1392536967632408576,PututKarang,338,Twitter for Android,1,[]";;;;;;;
2021-05-12 17:45:51,b'@Gelombangpasan2 @FerdinandHaean3 Yang korupsi bansos kau sebut bapak apa? Yg korupsi Asabri kau sebut bapak apa? Yg SP3 BLBI kau sebut bapak apa?',1392536512491712513,Herys46229010,0,Twitter for Android,0,[];;;;;;;
2021-05-12 17:43:22,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392535889159475202,JohnZEddi1,137,Twitter Web App,1,[];;;;;;;
"2021-05-12 17:39:47,""b'RT @aimrod: @coromodol Nomer 3/Axis, bank BRI, layak udah dapet bansos'"",1392534984536203265,jonLutty,7,Twitter for iPhone,1,[]";;;;;;;
"2021-05-12 17:39:25,""b'Tim Gerak Cepat Seroja Kupang, Perjaka 30, Ropes, Alas 30 Jakarta Menyalurkan Bansos https://t.co/rZcNO73Po5 https://t.co/6fhtCOgzey'"",1392534894908088320,statusternate,0,dlvr.it,0,[]";;;;;;;
"2021-05-12 17:38:49,""b'Penyaluran Bansos Berlanjut di 2021 Target 8 Juta Orang, Cek Penerima di https://t.co/b40YoDzdhv https://t.co/4TzDh3tiTi banjarmasinpost https://t.co/qWxHnS5BQp'"",1392534743502127105,banjarmasinpost,0,dlvr.it,0,[]";;;;;;;
2021-05-12 17:38:47,b'Yayasan AL-Jabbar Bagikan Bansos kepada Yatim dan Dhuafa https://t.co/asiYBFX5Z0 https://t.co/dQbw41sC1e',1392534734459133953,penakunews,0,dlvr.it,0,[];;;;;;;
"2021-05-12 17:38:45,""b'Penyaluran Bansos Berlanjut di 2021 Target 8 Juta Orang, Cek Penerima di https://t.co/dHpzjGjkKR https://t.co/wJ6J4xkJLJ https://t.co/CXf9CtMEL3'"",1392534725709860866,Berita_TU,0,dlvr.it,0,[]";;;;;;;
