Tanggal;Banyak Retweet;Tweet
05/05/2021 06:29;0.0;mama jdnya ngasih beras tetangga dapat bansos karena korup
05/05/2021 06:30;0.0;wajar masyarakat kesal pandemi dana bansos korupsi curang swab antigen masyarakat larang bukber open house suruh ayo tps masyarakat larang mudik wisata
05/05/2021 06:32;0.0;bansos cair anggap giveaway perintah pada belanja
05/05/2021 06:32;2.0;majelis hakim adil tidak pidana korupsi jatuh vonis 4 usaha ardi iskandar maddanatja duga suap ada bantu sosial bansos covid 19 temponasional
05/05/2021 06:32;0.0;waspada preman teriak bhineka tuduh ormas teroris soal beku rekening dapat duit btw jagain bansos takut korup
05/05/2021 06:34;21.0;bansos juga tidak rata banyak suka sasar smpe keluarga saya tidak dapat bantu ba
05/05/2021 06:36;0.0;hancur bangsa komplot koruptor curi dana bansos rakyat mati karena covid 19 jelek radikal mana
05/05/2021 06:37;0.0;ini buzzer ngemeng tidak ributin data bansos ganda databansosdatadukcapildataprakerjadatahoax
05/05/2021 06:38;0.0;hello pemerintahbansos adil ngasih nya
05/05/2021 06:39;0.0;bansos nama ganda karena data cek verifikasi tahu seleweng perintah data revisi data lama bukan dar taqlid hasut konspirasi topeng agama nasionalisme
05/05/2021 06:39;8.0;korupsi bansos tidak pengaruh masyarakat mepersepsi korupsi kader 2 partai
05/05/2021 06:39;1.0;uang hasil korupsi bansos covid pakai karaoke tim kemensos
05/05/2021 06:40;1.0;tok suap proyek bansos kemensos vonis 4
05/05/2021 06:43;0.0;ardi uang suap rp1 95 miliar juliari
05/05/2021 06:43;0.0;kalau telat kantor 2 juga wfo abis lebaran full wfo kalau bansos repot kalo
05/05/2021 06:43;28.0;sidik duga lolos seleksi asn satgas tangan kakap kpk kumparannews
05/05/2021 06:45;0.0;gapercaya covid bansos covid percaya parah emang
05/05/2021 06:45;0.0;hukum mati maling bansos kroni laksana
05/05/2021 06:47;2.0;ketidakadilan bansos ketidaktaatan masyarakat ketidak-percayaan tentang covid kurang tegas perintah sumber daya tidak pada timbang bebas covid negara sanggup lockdown
05/05/2021 06:47;0.0;laku undang nyanyi dangdut sewa jet pribadi beli sepeda brompton bayar kurban sapi hasil tilap hak miskin pakai karaoke
05/05/2021 06:50;0.0;sogok bansos tidak yah sih terima suap suap umpetin kpk pada antasari azhar bagus rekayasa pada makhluk ketua kpk lokal cokol amburadul
